call_id,is_repeat_call,parent_call_id,call_date,call_type,call_subreason,scenario,experiment_condition,customer_id,account_id,rep_id,rep_name,site,queue_name,department,agent_tenure_months,agent_strain_tier,agent_qa_score,agent_aht_secs_base,friction_tier,aht_secs,rep_gaming_propensity,rep_compliance_risk,rep_policy_skill,rep_burnout_level,rep_calls_handled,rep_dar_running_mean,rep_dov_running_mean,rep_trust_accumulated,imei_mismatch_flag,nrf_generated_flag,promo_override_post_call,line_added_no_usage_flag,line_added_same_day_store,rep_aware_gaming,true_resolution,resolution_flag,repeat_contact_30d,repeat_contact_31_60d,escalation_flag,credit_applied,credit_amount,credit_type,credit_authorized,customer_tenure_months,customer_monthly_charges,customer_lines,customer_churn_risk,customer_churn_risk_effective,customer_trust_baseline,customer_patience,customer_is_churned
CALL-0000011,0,,2025-07-15,Billing Dispute,,clean,goodhart_burnout_bleed,C0008067,A0008067,REP00042,Alexander Stewart,NovaWireless,General Support,Call Center,43,medium,0.5628,489.12,normal,509,0.0,0.0,0.3329,0.4454,1,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,True,13.14,courtesy,True,2,47.02,2,0.341491,0.341491,43.317158,0.342287,0
CALL-0000012,0,,2025-07-26,Promotion Inquiry,Loyalty upgrade not offered,loyalty_offer_missed,goodhart_burnout_bleed,C0008653,A0008653,REP00007,Diego Watson,NovaWireless,General Support,Call Center,26,low,0.6231,575.73,low,501,0.0,0.0,0.4635,0.3392,1,1.0,0.0,0.0,False,False,False,False,False,False,False,True,False,True,False,True,19.92,bandaid,True,69,23.56,1,0.244579,0.440242,75.607652,0.120253,0
CALL-0000013,1,CALL-0000012,2025-07-27,Promotion Inquiry,Loyalty upgrade not offered,loyalty_offer_missed,goodhart_burnout_bleed,C0008653,A0008653,REP00182,Quinn Wong,NovaWireless,General Support,Call Center,27,medium,0.5379,633.38,high,856,0.0,0.0,0.2789,0.5306,1,1.0,0.0,0.0,False,False,False,False,False,False,False,True,False,True,False,True,17.64,bandaid,True,69,23.56,1,0.244579,0.440242,75.467652,0.120253,0
CALL-0000014,0,,2025-07-16,Billing Dispute,,clean,goodhart_burnout_bleed,C0000830,A0000830,REP00177,Thomas Evans,NovaWireless,General Support,Call Center,33,medium,0.6111,587.79,peak,812,0.0,0.0,0.4375,0.4416,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,True,12.78,courtesy,True,5,118.69,2,0.28239,0.28239,74.292768,0.539156,0
CALL-0000015,0,,2025-07-24,Billing Dispute,,clean,goodhart_burnout_bleed,C0006616,A0006616,REP00086,Olivia Jenkins,NovaWireless,General Support,Call Center,31,medium,0.5545,529.62,normal,603,0.0,0.0,0.3149,0.4665,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,True,False,True,10.11,courtesy,True,9,35.82,4,0.293657,0.293657,63.545061,0.321306,1
CALL-0000016,1,CALL-0000015,2025-07-28,Network Coverage,,clean,goodhart_burnout_bleed,C0006616,A0006616,REP00224,Jayden Gupta,NovaWireless,General Support,Call Center,42,medium,0.6091,537.65,normal,613,0.0,0.0,0.4332,0.4094,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,9,35.82,4,0.293657,0.293657,63.545061,0.321306,1
CALL-0000017,0,,2025-07-18,Network Coverage,,unresolvable_clean,goodhart_burnout_bleed,C0005976,A0005976,REP00038,Ariana Anderson,NovaWireless,General Support,Call Center,20,high,0.6101,597.36,normal,716,0.0,0.0,0.4353,0.5983,1,1.0,0.0,0.0,False,False,False,False,False,False,False,True,True,False,False,True,20.32,service_credit,True,7,69.77,1,0.308968,0.432555,97.95,0.451129,0
CALL-0000018,1,CALL-0000017,2025-07-26,Account Inquiry,,unresolvable_clean,goodhart_burnout_bleed,C0005976,A0005976,REP00129,Claire Price,NovaWireless,General Support,Call Center,25,medium,0.5751,575.7,normal,887,0.0,0.0,0.3595,0.4636,1,1.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,24.77,service_credit,True,7,69.77,1,0.308968,0.432555,97.9,0.451129,0
CALL-0000019,0,,2025-07-02,Billing Dispute,,clean,goodhart_burnout_bleed,C0001021,A0001021,REP00025,Hailey Gomez,NovaWireless,General Support,Call Center,29,low,0.6788,544.53,normal,647,0.0,0.0,0.5842,0.4432,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,True,11.37,courtesy,True,53,71.5,5,0.228311,0.228311,77.154492,0.561608,0
CALL-0000020,0,,2025-07-07,Network Coverage,,clean,goodhart_burnout_bleed,C0004133,A0004133,REP00244,Adrian King,NovaWireless,General Support,Call Center,32,medium,0.5384,556.73,low,581,0.0,0.0,0.28,0.4624,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,22,87.42,1,0.370145,0.370145,77.311042,0.164198,0
CALL-0000021,0,,2025-07-12,Billing Dispute,,clean,goodhart_burnout_bleed,C0008262,A0008262,REP00089,Laura Davis,NovaWireless,General Support,Call Center,42,low,0.6126,515.86,low,463,0.0,0.0,0.4408,0.2995,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,9,110.16,1,0.356642,0.356642,56.388117,0.815162,0
CALL-0000022,0,,2025-07-04,Promotion Inquiry,,clean,goodhart_burnout_bleed,C0009624,A0009624,REP00191,Andre Allen,NovaWireless,General Support,Call Center,39,low,0.6715,510.87,high,525,0.0,0.0,0.5684,0.3761,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,True,10.0,courtesy,True,37,99.9,5,0.259686,0.259686,77.541314,0.59169,0
CALL-0000023,0,,2025-07-24,Device Issue,Device activation,activation_clean,goodhart_burnout_bleed,C0005282,A0005282,REP00047,Isaiah Peterson,NovaWireless,General Support,Call Center,36,low,0.6401,529.6,normal,525,0.0,0.0,0.5003,0.2772,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,1,102.14,4,0.342181,0.307963,53.938436,0.745518,1
CALL-0000024,0,,2025-07-16,Device Issue,,clean,goodhart_burnout_bleed,C0003590,A0003590,REP00119,Logan Kim,NovaWireless,General Support,Call Center,30,medium,0.7884,535.51,high,629,0.0,0.0,0.8224,0.4727,3,1.0,0.0,0.0,False,False,False,False,False,False,True,True,True,False,False,False,0.0,none,True,6,49.71,2,0.209676,0.209676,87.866431,0.86128,0
CALL-0000025,1,CALL-0000024,2025-07-17,Network Coverage,,clean,goodhart_burnout_bleed,C0003590,A0003590,REP00041,Maya Ortiz,NovaWireless,General Support,Call Center,36,medium,0.5824,546.23,high,659,0.0,0.0,0.3753,0.5051,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,6,49.71,2,0.209676,0.209676,87.866431,0.86128,0
CALL-0000026,0,,2025-07-28,Billing Dispute,,clean,goodhart_burnout_bleed,C0001872,A0001872,REP00238,Amy Castillo,NovaWireless,General Support,Call Center,26,medium,0.6172,574.19,normal,581,0.0,0.0,0.4507,0.4914,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,19,106.84,2,0.193337,0.193337,79.871079,0.359732,0
CALL-0000027,0,,2025-07-24,Network Coverage,,gamed_metric,goodhart_burnout_bleed,C0002245,A0002245,REP00057,Oliver Martinez,NovaWireless,General Support,Call Center,29,low,0.7425,582.25,normal,544,0.0,0.0,0.7222,0.3756,1,1.0,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,0.0,none,True,22,93.85,3,0.22732,0.28415,80.675116,0.886544,1
CALL-0000028,0,,2025-07-21,Billing Dispute,,clean,goodhart_burnout_bleed,C0000496,A0000496,REP00237,Dominic Chen,NovaWireless,General Support,Call Center,35,low,0.6034,544.12,low,403,0.0,0.0,0.4208,0.3729,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,34,89.2,2,0.396754,0.396754,79.035393,0.548141,1
CALL-0000029,0,,2025-07-16,Promotion Inquiry,,clean,goodhart_burnout_bleed,C0008304,A0008304,REP00250,Noah Ross,NovaWireless,General Support,Call Center,21,medium,0.6788,480.27,normal,485,0.0,0.0,0.5842,0.3946,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,True,10.0,courtesy,True,18,20.32,1,0.268201,0.268201,90.365421,0.403629,0
CALL-0000030,0,,2025-07-03,Billing Dispute,,clean,goodhart_burnout_bleed,C0001130,A0001130,REP00224,Jayden Gupta,NovaWireless,General Support,Call Center,42,medium,0.6091,537.65,low,515,0.0,0.0,0.4343,0.4089,2,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,True,13.55,courtesy,True,69,31.37,1,0.345451,0.345451,75.357437,0.287268,0
CALL-0000031,0,,2025-07-22,Network Coverage,,unresolvable_clean,goodhart_burnout_bleed,C0000201,A0000201,REP00038,Ariana Anderson,NovaWireless,General Support,Call Center,20,high,0.6101,597.36,normal,672,0.0,0.0,0.4365,0.5978,2,1.0,0.0,0.0,True,False,False,False,False,False,False,True,True,False,False,False,0.0,none,True,43,55.98,2,0.303228,0.424519,66.391436,0.96518,0
CALL-0000032,1,CALL-0000031,2025-07-28,International/Roaming,,unresolvable_clean,goodhart_burnout_bleed,C0000201,A0000201,REP00198,Nathan Lewis,NovaWireless,General Support,Call Center,23,low,0.6206,516.71,high,676,0.0,0.0,0.4581,0.3891,1,1.0,0.0,0.0,False,False,False,False,False,False,False,True,True,True,True,True,20.67,service_credit,True,43,55.98,2,0.303228,0.424519,66.341436,0.96518,0
CALL-0000033,0,,2025-07-29,Network Coverage,,clean,goodhart_burnout_bleed,C0004770,A0004770,REP00115,Elliot Wilson,NovaWireless,General Support,Call Center,31,medium,0.6318,566.06,normal,633,0.0,0.0,0.4824,0.5442,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,39,34.01,1,0.234422,0.234422,97.811394,0.292746,0
CALL-0000034,0,,2025-07-02,Account Inquiry,,clean,goodhart_burnout_bleed,C0007970,A0007970,REP00250,Noah Ross,NovaWireless,General Support,Call Center,21,medium,0.6788,480.27,high,456,0.0,0.0,0.585,0.3941,2,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,0.0,none,True,0,40.17,1,0.205987,0.205987,65.40419,0.916823,0
CALL-0000035,0,,2025-07-16,Network Coverage,,unresolvable_clean,goodhart_burnout_bleed,C0008067,A0008067,REP00115,Elliot Wilson,NovaWireless,General Support,Call Center,31,medium,0.6318,566.06,low,576,0.0,0.0,0.4834,0.5437,2,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,True,22.45,service_credit,True,2,47.02,2,0.341491,0.478087,43.267158,0.342287,0
CALL-0000036,0,,2025-07-01,Promotion Inquiry,Loyalty upgrade not offered,loyalty_offer_missed,goodhart_burnout_bleed,C0005664,A0005664,REP00079,Jada Wong,NovaWireless,General Support,Call Center,43,low,0.7446,464.25,high,450,0.0,0.0,0.7268,0.2964,1,1.0,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,True,11.2,bandaid,True,7,94.62,2,0.276965,0.498537,79.929878,0.844749,0
CALL-0000037,0,,2025-07-17,Network Coverage,,unresolvable_clean,goodhart_burnout_bleed,C0004963,A0004963,REP00045,Jace Taylor,NovaWireless,General Support,Call Center,25,medium,0.5878,599.23,low,600,0.0,0.0,0.387,0.5491,1,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,True,False,True,24.3,service_credit,True,12,77.13,1,0.195147,0.273206,86.50584500000001,0.218676,0
CALL-0000038,1,CALL-0000037,2025-07-16,Device Issue,,unresolvable_clean,goodhart_burnout_bleed,C0004963,A0004963,REP00037,Clara Harris,NovaWireless,General Support,Call Center,41,medium,0.6214,529.46,normal,685,0.0,0.0,0.4598,0.4583,1,1.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,none,True,12,77.13,1,0.195147,0.273206,86.45584500000001,0.218676,0
CALL-0000039,0,,2025-07-14,Account Inquiry,,clean,goodhart_burnout_bleed,C0007355,A0007355,REP00237,Dominic Chen,NovaWireless,General Support,Call Center,35,low,0.6034,544.12,normal,563,0.0,0.0,0.422,0.3724,2,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,0.0,none,True,19,94.2,1,0.259684,0.259684,79.727386,0.328959,0
CALL-0000040,0,,2025-07-10,Billing Dispute,,clean,goodhart_burnout_bleed,C0006784,A0006784,REP00017,Landon Turner,NovaWireless,General Support,Call Center,48,low,0.6113,556.31,normal,556,0.0,0.0,0.4379,0.2645,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,True,12.6,courtesy,True,1,85.46,1,0.175273,0.175273,66.747745,0.724954,0
CALL-0000041,0,,2025-07-27,Billing Dispute,,gamed_metric,goodhart_burnout_bleed,C0003727,A0003727,REP00139,Makayla Cooper,NovaWireless,General Support,Call Center,24,low,0.6544,497.86,peak,533,0.0,0.0,0.5313,0.2744,1,1.0,0.0,0.0,False,False,False,False,False,True,False,True,True,True,True,False,0.0,none,True,65,77.01,1,0.208311,0.260389,84.01087100000001,0.632579,0
CALL-0000042,1,CALL-0000041,2025-07-08,Billing Dispute,,gamed_metric,goodhart_burnout_bleed,C0003727,A0003727,REP00056,Eleanor Williams,NovaWireless,General Support,Call Center,18,medium,0.6338,574.29,high,571,0.0,0.0,0.4867,0.5901,1,1.0,0.0,0.0,True,False,False,False,False,True,True,False,False,False,False,False,0.0,none,True,65,77.01,1,0.208311,0.260389,83.93087100000001,0.632579,0
CALL-0000043,1,CALL-0000041,2025-07-04,Billing Dispute,,gamed_metric,goodhart_burnout_bleed,C0003727,A0003727,REP00231,George Smith,NovaWireless,General Support,Call Center,24,medium,0.6423,560.82,normal,562,0.0,0.0,0.5051,0.4246,1,1.0,0.0,0.0,False,False,False,False,False,False,False,True,False,True,False,False,0.0,none,True,65,77.01,1,0.208311,0.260389,83.85087100000001,0.632579,0
CALL-0000044,0,,2025-07-11,Device Issue,,clean,goodhart_burnout_bleed,C0001740,A0001740,REP00204,Leah Cook,NovaWireless,General Support,Call Center,28,low,0.7057,570.7,high,644,0.0,0.0,0.6425,0.3664,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,44,113.64,2,0.148062,0.148062,71.608449,0.774357,0
CALL-0000045,0,,2025-07-15,Promotion Inquiry,Loyalty upgrade not offered,loyalty_offer_missed,goodhart_burnout_bleed,C0002159,A0002159,REP00246,Ella Walker,NovaWireless,General Support,Call Center,29,medium,0.5271,557.29,peak,701,0.0,0.0,0.2555,0.4319,1,1.0,0.0,0.0,False,False,True,False,False,False,True,True,False,True,False,True,15.13,bandaid,True,13,39.42,1,0.250272,0.45049,67.437337,0.17475,0
CALL-0000046,1,CALL-0000045,2025-07-26,Promotion Inquiry,Loyalty upgrade not offered,loyalty_offer_missed,goodhart_burnout_bleed,C0002159,A0002159,REP00123,Christian Stewart,NovaWireless,General Support,Call Center,36,low,0.7033,497.81,normal,505,0.0,0.0,0.6373,0.2954,1,1.0,0.0,0.0,False,False,False,False,False,False,False,True,True,True,False,True,14.79,bandaid,True,13,39.42,1,0.250272,0.45049,67.297337,0.17475,0
CALL-0000047,0,,2025-07-20,Billing Dispute,,clean,goodhart_burnout_bleed,C0000809,A0000809,REP00154,Aiden Hall,NovaWireless,General Support,Call Center,31,medium,0.594,598.07,normal,668,0.0,0.0,0.4005,0.5599,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,True,10.62,courtesy,True,14,39.13,1,0.158453,0.158453,60.224007,0.539849,1
CALL-0000048,0,,2025-07-25,Account Inquiry,,gamed_metric,goodhart_burnout_bleed,C0006861,A0006861,REP00209,Anthony Nelson,NovaWireless,General Support,Call Center,38,medium,0.6804,519.92,high,557,0.0,0.0,0.5877,0.4617,1,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,0.0,none,True,9,102.25,1,0.298819,0.373524,45.578403,0.554787,0
CALL-0000049,0,,2025-07-16,Promotion Inquiry,,gamed_metric,goodhart_burnout_bleed,C0007049,A0007049,REP00204,Leah Cook,NovaWireless,General Support,Call Center,28,low,0.7057,570.7,high,509,0.0,0.0,0.6432,0.3659,2,1.0,0.0,0.0,False,False,False,False,False,False,False,True,True,False,False,False,0.0,none,True,16,101.24,1,0.113686,0.142107,73.925595,0.400188,0
CALL-0000050,1,CALL-0000049,2025-07-04,Billing Dispute,,gamed_metric,goodhart_burnout_bleed,C0007049,A0007049,REP00081,Naomi Martinez,NovaWireless,General Support,Call Center,27,high,0.7207,584.4,normal,437,0.0,0.0,0.675,0.6307,1,1.0,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,0.0,none,True,16,101.24,1,0.113686,0.142107,73.845595,0.400188,0
CALL-0000051,0,,2025-07-17,Device Issue,Device activation,activation_clean,goodhart_burnout_bleed,C0000153,A0000153,REP00101,Liam Ward,NovaWireless,General Support,Call Center,32,high,0.5093,572.44,normal,828,0.0,0.0,0.2169,0.6881,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,0,80.68,1,0.207657,0.186891,87.364035,0.592161,1
CALL-0000052,0,,2025-07-16,Billing Dispute,,clean,goodhart_burnout_bleed,C0005788,A0005788,REP00081,Naomi Martinez,NovaWireless,General Support,Call Center,27,high,0.7207,584.4,normal,629,0.0,0.0,0.6756,0.6302,2,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,39,38.85,1,0.348394,0.348394,66.805106,0.207336,0
CALL-0000053,0,,2025-07-06,Account Inquiry,Add a line,line_add_legitimate,goodhart_burnout_bleed,C0002852,A0002852,REP00163,Natalie Hall,NovaWireless,General Support,Call Center,24,low,0.6805,545.02,high,809,0.0,0.0,0.5879,0.3921,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,23,73.27,1,0.273708,0.232652,74.701031,0.795991,0
CALL-0000054,0,,2025-07-11,Network Coverage,,gamed_metric,goodhart_burnout_bleed,C0009507,A0009507,REP00009,Amir White,NovaWireless,General Support,Call Center,32,low,0.7283,497.9,normal,370,0.0,0.0,0.6915,0.3049,1,1.0,0.0,0.0,False,False,False,False,False,True,False,True,False,False,False,False,0.0,none,True,32,54.14,2,0.394709,0.493386,97.92,0.812231,0
CALL-0000055,0,,2025-07-19,Billing Dispute,,clean,goodhart_burnout_bleed,C0007385,A0007385,REP00166,Elijah Rodriguez,NovaWireless,General Support,Call Center,27,medium,0.5968,524.74,normal,554,0.0,0.0,0.4065,0.4553,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,1,89.06,1,0.110934,0.110934,78.438633,0.573501,0
CALL-0000056,0,,2025-07-10,Promotion Inquiry,Loyalty upgrade not offered,loyalty_offer_missed,goodhart_burnout_bleed,C0008229,A0008229,REP00030,Chloe Walker,NovaWireless,General Support,Call Center,32,low,0.6322,562.58,normal,522,0.0,0.0,0.4832,0.3574,1,1.0,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,True,10.02,bandaid,True,60,55.77,2,0.245031,0.441056,79.31289,0.191483,0
CALL-0000057,1,CALL-0000056,2025-07-18,Promotion Inquiry,Loyalty upgrade not offered,loyalty_offer_missed,goodhart_burnout_bleed,C0008229,A0008229,REP00053,Alexander Wilson,NovaWireless,General Support,Call Center,39,low,0.68,478.06,normal,507,0.0,0.0,0.5868,0.3372,1,1.0,0.0,0.0,False,False,False,False,False,False,False,True,False,False,True,False,0.0,none,True,60,55.77,2,0.245031,0.441056,79.17289,0.191483,0
CALL-0000058,0,,2025-07-15,Device Issue,Activation failed,activation_failed,goodhart_burnout_bleed,C0000556,A0000556,REP00053,Alexander Wilson,NovaWireless,General Support,Call Center,39,low,0.68,478.06,low,709,0.0,0.0,0.5876,0.3367,2,1.0,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,True,6.73,service_credit,True,11,72.34,1,0.227883,0.307642,54.116891,0.36897,0
CALL-0000059,1,CALL-0000058,2025-07-06,Device Issue,Activation failed,activation_failed,goodhart_burnout_bleed,C0000556,A0000556,REP00087,Elijah Young,NovaWireless,General Support,Call Center,32,medium,0.6246,543.04,normal,945,0.0,0.0,0.4668,0.4551,1,1.0,0.0,0.0,True,False,False,False,False,False,False,False,True,False,False,True,8.84,service_credit,True,11,72.34,1,0.227883,0.307642,54.076891,0.36897,0
CALL-0000060,0,,2025-07-26,Promotion Inquiry,Loyalty upgrade not offered,loyalty_offer_missed,goodhart_burnout_bleed,C0001972,A0001972,REP00024,Julian James,NovaWireless,General Support,Call Center,24,medium,0.663,525.68,normal,481,0.0,0.0,0.55,0.471,1,1.0,0.0,0.0,False,False,False,False,False,True,False,True,False,True,False,True,17.92,bandaid,True,62,35.76,5,0.227873,0.410171,74.056135,0.268967,0
CALL-0000061,1,CALL-0000060,2025-07-13,Promotion Inquiry,Loyalty upgrade not offered,loyalty_offer_missed,goodhart_burnout_bleed,C0001972,A0001972,REP00042,Alexander Stewart,NovaWireless,General Support,Call Center,43,medium,0.5628,489.12,normal,462,0.0,0.0,0.3342,0.4449,2,1.0,0.0,0.0,False,False,False,False,False,False,False,True,False,True,False,True,13.04,bandaid,True,62,35.76,5,0.227873,0.410171,73.916135,0.268967,0
CALL-0000062,0,,2025-07-08,Promotion Inquiry,Loyalty upgrade not offered,loyalty_offer_missed,goodhart_burnout_bleed,C0000832,A0000832,REP00153,Olivia Powell,NovaWireless,General Support,Call Center,21,low,0.5517,523.18,normal,410,0.0,0.0,0.3088,0.3198,1,1.0,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,True,10.34,bandaid,True,24,22.56,3,0.331566,0.596819,66.161854,0.757579,1
CALL-0000063,0,,2025-07-26,International/Roaming,,gamed_metric,goodhart_burnout_bleed,C0008626,A0008626,REP00138,Andrea Wilson,NovaWireless,General Support,Call Center,27,medium,0.6408,542.65,high,607,0.0,0.0,0.5019,0.4556,1,1.0,0.0,0.0,False,False,False,False,False,True,False,True,True,False,False,False,0.0,none,True,3,50.29,1,0.183459,0.229324,84.990798,0.492993,0
CALL-0000064,1,CALL-0000063,2025-07-03,Device Issue,,gamed_metric,goodhart_burnout_bleed,C0008626,A0008626,REP00002,Zoe Stewart,NovaWireless,General Support,Call Center,31,medium,0.6708,600.38,high,517,0.0,0.0,0.5669,0.4434,1,1.0,0.0,0.0,False,False,True,False,False,False,False,True,False,True,False,False,0.0,none,True,3,50.29,1,0.183459,0.229324,84.910798,0.492993,0
CALL-0000065,0,,2025-07-12,Promotion Inquiry,Loyalty upgrade not offered,loyalty_offer_missed,goodhart_burnout_bleed,C0000419,A0000419,REP00014,Ashley Rogers,NovaWireless,General Support,Call Center,48,low,0.607,491.39,low,351,0.0,0.0,0.4286,0.3264,1,1.0,0.0,0.0,False,False,False,False,False,False,False,True,False,True,True,True,17.32,bandaid,True,0,41.85,2,0.430668,0.775202,67.090619,0.295827,0
